parameter,TotalTSS,pctTraffickedVsNontrafficked,Buyers,demand,Traffickers,pctSSCrimRecord
st_services_recovery_rate_youth,-0.018697624022103336,-0.006898306650698712,-0.024791463394383133,-0.018442908684622963,0.0019727410191928882,-0.005134265269068492
lt_services_recovery_rate_youth,-0.009959612653920915,-0.012193862708218655,0.004349540075893482,0.002834844746353488,0.010856116569963261,-0.009985552827573125
base_adult_recovery_rate,-0.013750119251620554,-0.02668844993468325,0.006034321420387884,-0.008295727034463934,0.0008203844313180119,-0.002452098839126546
post_service_vulnerability,-0.0022176409352413773,0.004249694327570691,0.010818188248467687,-0.007709348508196208,-0.009002484648969767,0.004601494438131856
vulnerable_recidivism,0.009247045492848244,0.01226631167612817,-0.0010948582960289266,0.004967022614306745,-0.011903880767735691,0.022643843478459692
base_youth_recovery_rate,0.008859649713721917,-0.008857962364139936,0.014705632230243262,0.003852254002049813,0.01327606334224939,0.0033033822549845683
post_service_vulnerability_youth,-0.005039339814499396,-0.014822982577437882,-0.014536968703227808,-0.010851615492289718,-0.0005750393961012732,0.00894080069954507
vulnerable_recidivism_youth,-0.012817766750864355,0.001668480679849405,-0.018334741901800154,-0.005127261714419319,0.005949293074978637,-0.04521512403567545
csw_acceptance,0.028999619472398194,-0.017368975540789425,0.030958866718910592,0.031887534213848975,0.03876381619819937,0.006900514313249182
csw_exhaustion,0.00029214355349465964,-0.007061075535830759,0.020418527262194473,0.007714252054966416,0.0025158948533388014,0.0067524867905989746
sb_benefit,0.06536848998192599,-0.012494911845615814,0.06193191110734778,0.07705253422471363,0.06999967780699817,0.016426096059818596
ss_trns_pm,0.009460017655451762,0.020758588260447516,0.02395565311740151,0.022575510943558315,-0.017266282187147312,0.03091882099446029
ss_desired_profit,-0.0067958487032811895,0.048497596408518945,-0.033998773384637214,-0.012330735021726647,0.009274200299271968,-0.016326851963033406
trafficked_to_nontrafficked_pct,-0.007163052661116217,-0.011946077368280723,-0.007318910637224183,-0.02110122255002096,-0.006237970557358348,0.0009947967790843702
risk_cross_effect,0.004567643288702945,-0.018197123372414047,0.007611656622495713,0.005806688204660901,0.0015770712775508814,0.0008747560478888958
sb_trns_risk_weight,0.02024831994777191,0.017422705827813682,0.02007478994186562,0.008845019996703644,0.022051510237072993,0.0003872279589384947
buyer_base_trns,0.05102542601867969,-0.022163828331661185,0.0038246346143834364,0.06029611134945691,0.06666169324532004,0.00961142440940009
